[12:11:07] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', name='PROD'
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[12:11:08] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[12:11:08] [main/INFO]: Reloading ResourceManager: Default
[12:11:11] [Worker-Main-2/INFO]: Loaded 7 recipes
[12:11:12] [Worker-Main-2/INFO]: Loaded 927 advancements
[12:11:14] [Server thread/INFO]: Starting minecraft server version 1.16.1
[12:11:14] [Server thread/WARN]: To start the server with more ram, launch it as "java -Xmx1024M -Xms1024M -jar minecraft_server.jar"
[12:11:14] [Server thread/INFO]: Loading properties
[12:11:14] [Server thread/INFO]: Default game type: SURVIVAL
[12:11:14] [Server thread/INFO]: Generating keypair
[12:11:15] [Server thread/INFO]: Starting Minecraft server on *:25565
[12:11:15] [Server thread/INFO]: Using epoll channel type
[12:11:15] [Server thread/INFO]: Preparing level "world"
[12:11:51] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[12:11:51] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[12:11:52] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[12:11:53] [Worker-Main-2/INFO]: Preparing spawn area: 21%
[12:11:53] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[12:11:53] [Worker-Main-2/INFO]: Preparing spawn area: 25%
[12:11:54] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[12:11:54] [Worker-Main-2/INFO]: Preparing spawn area: 27%
[12:11:55] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[12:11:55] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[12:11:56] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[12:11:56] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[12:11:57] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[12:11:57] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[12:11:58] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[12:11:58] [Worker-Main-2/INFO]: Preparing spawn area: 38%
[12:11:59] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[12:11:59] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[12:12:00] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[12:12:01] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[12:12:01] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[12:12:02] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[12:12:02] [Worker-Main-2/INFO]: Preparing spawn area: 41%
[12:12:03] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:03] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:03] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:04] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:04] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:05] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:06] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:06] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:07] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:07] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[12:12:08] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[12:12:08] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[12:12:08] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[12:12:09] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[12:12:09] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[12:12:10] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[12:12:11] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[12:12:11] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[12:12:12] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[12:12:12] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[12:12:12] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[12:12:13] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[12:12:14] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[12:12:14] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[12:12:14] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:15] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:15] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:16] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:16] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:17] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:17] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:18] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:19] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:19] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:19] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:20] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:21] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:21] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:22] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[12:12:22] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[12:12:22] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[12:12:23] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[12:12:23] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[12:12:24] [Worker-Main-2/INFO]: Preparing spawn area: 48%
[12:12:26] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[12:12:26] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[12:12:26] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[12:12:27] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[12:12:27] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[12:12:27] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:28] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:28] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:29] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:29] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:30] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:30] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:31] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 51%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 52%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[12:12:34] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[12:12:35] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[12:12:35] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[12:12:36] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[12:12:36] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[12:12:37] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[12:12:37] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:12:38] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:12:38] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:12:39] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:12:40] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:12:41] [Worker-Main-2/INFO]: Preparing spawn area: 55%
[12:12:41] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[12:12:41] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[12:12:42] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[12:12:42] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[12:12:43] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[12:12:44] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:44] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:44] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:45] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:46] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:46] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:46] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:47] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:48] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:48] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:48] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:49] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:49] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:50] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:50] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:51] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:51] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:52] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:53] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:53] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:53] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:54] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:56] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:56] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:56] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:57] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:57] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:57] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:58] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:58] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[12:12:59] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[12:12:59] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[12:12:59] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[12:13:00] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[12:13:00] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[12:13:01] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[12:13:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[12:13:02] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[12:13:03] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[12:13:03] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[12:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[12:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[12:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 61%
[12:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[12:13:06] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[12:13:06] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[12:13:06] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[12:13:07] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[12:13:07] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:08] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:08] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:09] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:10] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:10] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:10] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:11] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[12:13:12] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[12:13:12] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[12:13:12] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[12:13:14] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[12:13:14] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[12:13:14] [Worker-Main-2/INFO]: Preparing spawn area: 64%
[12:13:14] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[12:13:16] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[12:13:16] [Worker-Main-2/INFO]: Preparing spawn area: 66%
[12:13:16] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:13:17] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:13:17] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:13:17] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:13:18] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:13:18] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:13:19] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[12:13:20] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:20] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:21] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:21] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:21] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:22] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:22] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:23] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:24] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:24] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:25] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:25] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:26] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[12:13:26] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[12:13:26] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[12:13:27] [Worker-Main-2/INFO]: Preparing spawn area: 69%
[12:13:28] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[12:13:28] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[12:13:28] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:29] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:29] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:30] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:31] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:31] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:31] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:32] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:32] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[12:13:33] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[12:13:34] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[12:13:34] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[12:13:35] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[12:13:35] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[12:13:36] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[12:13:36] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[12:13:37] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[12:13:37] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[12:13:38] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[12:13:38] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[12:13:38] [Worker-Main-2/INFO]: Preparing spawn area: 74%
[12:13:39] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:39] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:40] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:41] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:42] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:42] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:43] [Worker-Main-2/INFO]: Preparing spawn area: 75%
[12:13:43] [Worker-Main-2/INFO]: Preparing spawn area: 76%
[12:13:44] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[12:13:44] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[12:13:45] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[12:13:45] [Worker-Main-2/INFO]: Preparing spawn area: 77%
[12:13:46] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[12:13:46] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[12:13:47] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[12:13:47] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[12:13:47] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[12:13:48] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[12:13:48] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[12:13:49] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[12:13:50] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[12:13:51] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[12:13:51] [Worker-Main-2/INFO]: Preparing spawn area: 80%
[12:13:51] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[12:13:51] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[12:13:52] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[12:13:52] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[12:13:53] [Worker-Main-2/INFO]: Preparing spawn area: 81%
[12:13:54] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[12:13:54] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[12:13:55] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:55] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:56] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:56] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:57] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:57] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:57] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:58] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:58] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:59] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:13:59] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:14:00] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:14:01] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:14:01] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:14:02] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:14:02] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[12:14:02] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[12:14:03] [Worker-Main-2/INFO]: Preparing spawn area: 84%
[12:14:04] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[12:14:04] [Worker-Main-2/INFO]: Preparing spawn area: 85%
[12:14:04] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[12:14:05] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[12:14:06] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[12:14:06] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[12:14:07] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:07] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:08] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:08] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:08] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:09] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:09] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:16] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[12:14:17] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:17] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:18] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:18] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:19] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:19] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:20] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:20] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:21] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:21] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:22] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:23] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:23] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:23] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[12:14:24] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[12:14:33] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[12:14:33] [Worker-Main-2/INFO]: Preparing spawn area: 92%
[12:14:33] [Worker-Main-2/INFO]: Preparing spawn area: 92%
